@title,2013年 世界選手権 個人予選
@link,http://www.fedintgym.com/microsites/13Antwerp/results/files/res/wag/WAG_CI_Individual_Results.pdf
WOHDAN Shaden,QAT,12.766,,8.066,10.866
DIVEKAR Rucha Sachin,IND,12.733,,9.533,9.191
NABIEVA Tatiana,RUS,14.633,14.533,,
MURAKAMI Mai,JPN,14.558,,,14.466
DOWNIE Rebecca,GBR,,15.100,13.600,
HONG Un Jong,PRK,15.633,,,12.016
SANKOVA Krystyna,UKR,,,14.000,13.566
SCHAEFER Pauline,GER,14.033,,,12.900
CHANT Maegan,CAN,13.366,,,13.333
PINTO ADASME Makarena,CHI,14.000,,,12.633
HOFLAND Kaitlyn,CAN,,12.933,13.600,
GRISANE Valerija,LAT,13.766,,12.466,
VASYLIEVA Olena,UKR,,13.800,12.333,
MINOBE Yu,JPN,,13.133,12.766,
MATVEIEVA Daria,UKR,13.600,,,12.291
VAZQUEZ AVILES Nicolle D,PUR,13.966,,,11.866
AKYOL Cagla,GER,,12.000,13.500,
PHAN Thi Ha Thanh,VIE,14.866,,10.500,
MAHMOUD FMA,EGY,14.566,,10.733,
LAURITSEN Michelle,DEN,13.000,12.200,,
STANILA Alina,ROU,,,12.266,12.700
van POL Vera,NED,,12.166,,12.666
LUNN Emma,IRL,,,12.566,12.233
GEIDT Anna,KAZ,12.866,,,11.866
MATIAS HYPOLITO Daniele,BRA,,10.866,13.866,
MEJIAS RODRIGUEZ P,PUR,12.866,,,11.333
ESCOBAR BETANCUR Ginna,COL,,12.400,11.600,
KISLINSKAYA Ekaterina,POR,,12.566,11.133,
CABRERA FIGUEROA Melany,CHI,,11.300,12.233,
VASSILYEVA Inna,KAZ,,11.800,11.700,
ODINSDOTTIR Tinna,ISL,,10.633,12.066,
CHOON Alexandra,POR,,,10.700,11.733
EL DABAGH Sarah,DEN,,,9.633,11.500
HUANG Huidan,CHN,,15.133,,
CHUSOVITINA Oksana,UZB,15.000,,,
IZBASA Sandra Raluca,ROU,,,,14.733
NEZER Ofir,ISR,14.300,,,
DEAGOSTINI Francesca,ITA,,,13.908,
ZENG Siqi,CHN,,,13.900,
WONG Hiu Ying Angel,HKG,13.700,,,
WHELAN Hannah,GBR,,,,13.366
WEVERS Sanne,NED,,,12.233,
AHMED SAAD Mai,EGY,,11.700,,
PLYTA Evangelia,GRE,,11.466,,
TAMAN Nancy Mohamed,EGY,,,11.166,
HUBE LOPEZ Karina,CHI,,9.975,,
RAVAL Vandita Nilesh,IND,,8.166,,
